Id,SurfaceArea,NumRooms,Type,Address,Description,Rent,Bookmark,Link
5286965.0,52.0,2.5,flat,"Route Aloys-Fauquez 124, 1018 Lausanne, VD",Agréable 2 pièces proche de toutes les commodités,1460.0,New,/en/d/flat-rent-lausanne/5286965?s=2&t=1&l=2023&ct=615&ci=1&pn=1
5277530.0,80.0,3.0,flat,"Avenue de Béthusy 53, 1012 Lausanne, VD",Proche du centre ville,2100.0,,/en/d/flat-rent-lausanne/5277530?s=2&t=1&l=2023&ct=615&ci=2&pn=1
5249019.0,74.0,3.5,stepped-apartment,"Route des Plaines-du-Loup 42, 1018 Lausanne, VD","Magnifique 3,5 pièces avec jardin privé -Immeuble récent à Lausanne",2150.0,Highlight,/en/d/stepped-apartment-rent-lausanne/5249019?s=2&t=1&l=2023&ct=615&ci=3&pn=1
5274375.0,108.0,3.5,duplex-maisonette,"Route de Prilly 12, 1004 Lausanne, VD",Magnifique logement en duplex entièrement neuf,3160.0,,/en/d/duplex-maisonette-rent-lausanne/5274375?s=2&t=1&l=2023&ct=615&ci=4&pn=1
5274374.0,80.0,3.5,flat,"Route de Prilly 12, 1004 Lausanne, VD",Nouveaux logements,2085.0,,/en/d/flat-rent-lausanne/5274374?s=2&t=1&l=2023&ct=615&ci=5&pn=1
5278160.0,55.0,2.5,flat,"Route Aloys-Fauquez 122, 1018 Lausanne, VD","Grand 2,5 pièces à Lausanne",1450.0,,/en/d/flat-rent-lausanne/5278160?s=2&t=1&l=2023&ct=615&ci=6&pn=1
5277696.0,128.0,3.5,duplex-maisonette,"Rue du Bourg 15, 1003 Lausanne, VD",Superbe duplex à louer au centre de Lausanne,3000.0,,/en/d/duplex-maisonette-rent-lausanne/5277696?s=2&t=1&l=2023&ct=615&ci=7&pn=1
5256077.0,130.0,4.5,penthouse,"Avenue Druey 13, 1018 Lausanne, VD",Belle Attique Rénové Moderne avec Vue,4580.0,,/en/d/penthouse-rent-lausanne/5256077?s=2&t=1&l=2023&ct=615&ci=8&pn=1
5134449.0,123.0,4.5,flat,"Chemin de Pierrefleur 23B, 1004 Lausanne, VD",Appartement 4.5 pièces à LAUSANNE,2950.0,,/en/d/flat-rent-lausanne/5134449?s=2&t=1&l=2023&ct=615&ci=9&pn=1
5275170.0,13.0,,single-room,"Av. de Chailly 52, 1012 Lausanne, VD",Pour petit budget - Quartier tranquille proche des commodités,360.0,,/en/d/single-room-rent-lausanne/5275170?s=2&t=1&l=2023&ct=615&ci=10&pn=1
5212203.0,13.0,,single-room,"Av. de Chailly 52, 1012 Lausanne, VD",Proche de toutes les commodités,380.0,,/en/d/single-room-rent-lausanne/5212203?s=2&t=1&l=2023&ct=615&ci=11&pn=1
5251291.0,19.0,,flat,"Av. de Riant-Mont 15, 1004 Lausanne, VD","Appartement, 1.0 pièce(s)",637.0,,"/en/d/flat-rent-s)»lausanne/5251291?s=2&t=1&l=2023&ct=615&ci=12&pn=1## «Appartement, 1.0 pièce(s"
5279333.0,20.0,,flat,"Av. de Tivoli 19Bis, 1007 Lausanne, VD","Appartement, 1.0 pièce(s)",725.0,,"/en/d/flat-rent-s)»lausanne/5279333?s=2&t=1&l=2023&ct=615&ci=13&pn=1## «Appartement, 1.0 pièce(s"
5280881.0,27.0,,flat,"Isabelle de Montolieu 161, 1010 Lausanne, VD",Haut de la Ville - quartier Vennes - proche de l'autoroute,780.0,,/en/d/flat-rent-lausanne/5280881?s=2&t=1&l=2023&ct=615&ci=14&pn=1
5286962.0,21.0,,flat,"Rue St-Martin 28, 1005 Lausanne, VD",Votre nouveau chez vous,840.0,New,/en/d/flat-rent-lausanne/5286962?s=2&t=1&l=2023&ct=615&ci=15&pn=1
5280449.0,24.0,,flat,"Avenue Sainte-Luce 4B, 1003 Lausanne, VD","Lausanne, studio au rez de chaussée",850.0,,/en/d/flat-rent-lausanne/5280449?s=2&t=1&l=2023&ct=615&ci=16&pn=1
